time,lon,lat,pre
1901-01-16,-73.75,4.75,11.1
1901-02-15,-73.75,4.75,34.3
1901-03-16,-73.75,4.75,48.4
1901-04-16,-73.75,4.75,46.4
1901-05-16,-73.75,4.75,87.200005
1901-06-16,-73.75,4.75,35.8
1901-07-16,-73.75,4.75,211.90001
1901-08-16,-73.75,4.75,258.0
1901-09-16,-73.75,4.75,54.0
1901-10-16,-73.75,4.75,168.40001
1901-11-16,-73.75,4.75,158.40001
1901-12-16,-73.75,4.75,35.9
1902-01-16,-73.75,4.75,67.9
1902-02-15,-73.75,4.75,26.0
1902-03-16,-73.75,4.75,132.3
1902-04-16,-73.75,4.75,86.6
1902-05-16,-73.75,4.75,61.0
1902-06-16,-73.75,4.75,52.5
1902-07-16,-73.75,4.75,36.9
1902-08-16,-73.75,4.75,60.0
1902-09-16,-73.75,4.75,65.5
1902-10-16,-73.75,4.75,72.6
1902-11-16,-73.75,4.75,80.1
1902-12-16,-73.75,4.75,16.9
1903-01-16,-73.75,4.75,18.300001
1903-02-15,-73.75,4.75,27.800001
1903-03-16,-73.75,4.75,26.4
1903-04-16,-73.75,4.75,100.700005
1903-05-16,-73.75,4.75,90.8
1903-06-16,-73.75,4.75,239.3
1903-07-16,-73.75,4.75,38.4
1903-08-16,-73.75,4.75,249.8
1903-09-16,-73.75,4.75,52.9
1903-10-16,-73.75,4.75,55.600002
1903-11-16,-73.75,4.75,111.4
1903-12-16,-73.75,4.75,65.5
1904-01-16,-73.75,4.75,28.4
1904-02-15,-73.75,4.75,47.8
1904-03-16,-73.75,4.75,134.2
1904-04-16,-73.75,4.75,173.0
1904-05-16,-73.75,4.75,137.6
1904-06-16,-73.75,4.75,49.4
1904-07-16,-73.75,4.75,130.0
1904-08-16,-73.75,4.75,73.200005
1904-09-16,-73.75,4.75,45.7
1904-10-16,-73.75,4.75,134.40001
1904-11-16,-73.75,4.75,25.5
1904-12-16,-73.75,4.75,16.6
1905-01-16,-73.75,4.75,38.5
1905-02-15,-73.75,4.75,10.400001
1905-03-16,-73.75,4.75,40.3
1905-04-16,-73.75,4.75,110.9
1905-05-16,-73.75,4.75,113.4
1905-06-16,-73.75,4.75,108.3
1905-07-16,-73.75,4.75,87.9
1905-08-16,-73.75,4.75,36.100002
1905-09-16,-73.75,4.75,125.3
1905-10-16,-73.75,4.75,110.5
1905-11-16,-73.75,4.75,148.0
1905-12-16,-73.75,4.75,90.200005
1906-01-16,-73.75,4.75,11.8
1906-02-15,-73.75,4.75,49.2
1906-03-16,-73.75,4.75,48.7
1906-04-16,-73.75,4.75,176.7
1906-05-16,-73.75,4.75,127.0
1906-06-16,-73.75,4.75,182.1
1906-07-16,-73.75,4.75,176.2
1906-08-16,-73.75,4.75,82.1
1906-09-16,-73.75,4.75,14.6
1906-10-16,-73.75,4.75,118.1
1906-11-16,-73.75,4.75,74.0
1906-12-16,-73.75,4.75,31.0
1907-01-16,-73.75,4.75,17.7
1907-02-15,-73.75,4.75,79.0
1907-03-16,-73.75,4.75,172.90001
1907-04-16,-73.75,4.75,191.1
1907-05-16,-73.75,4.75,105.6
1907-06-16,-73.75,4.75,136.6
1907-07-16,-73.75,4.75,258.5
1907-08-16,-73.75,4.75,91.200005
1907-09-16,-73.75,4.75,96.3
1907-10-16,-73.75,4.75,91.5
1907-11-16,-73.75,4.75,67.700005
1907-12-16,-73.75,4.75,42.3
1908-01-16,-73.75,4.75,46.0
1908-02-15,-73.75,4.75,37.5
1908-03-16,-73.75,4.75,100.5
1908-04-16,-73.75,4.75,88.5
1908-05-16,-73.75,4.75,40.8
1908-06-16,-73.75,4.75,73.3
1908-07-16,-73.75,4.75,145.40001
1908-08-16,-73.75,4.75,133.40001
1908-09-16,-73.75,4.75,103.4
1908-10-16,-73.75,4.75,232.5
1908-11-16,-73.75,4.75,79.6
1908-12-16,-73.75,4.75,74.4
1909-01-16,-73.75,4.75,24.1
1909-02-15,-73.75,4.75,80.8
1909-03-16,-73.75,4.75,7.6
1909-04-16,-73.75,4.75,112.5
1909-05-16,-73.75,4.75,162.2
1909-06-16,-73.75,4.75,158.0
1909-07-16,-73.75,4.75,329.1
1909-08-16,-73.75,4.75,140.8
1909-09-16,-73.75,4.75,61.600002
1909-10-16,-73.75,4.75,96.3
1909-11-16,-73.75,4.75,65.9
1909-12-16,-73.75,4.75,33.5
1910-01-16,-73.75,4.75,79.9
1910-02-15,-73.75,4.75,36.2
1910-03-16,-73.75,4.75,182.6
1910-04-16,-73.75,4.75,78.700005
1910-05-16,-73.75,4.75,282.7
1910-06-16,-73.75,4.75,189.7
1910-07-16,-73.75,4.75,125.0
1910-08-16,-73.75,4.75,75.1
1910-09-16,-73.75,4.75,103.4
1910-10-16,-73.75,4.75,181.8
1910-11-16,-73.75,4.75,59.0
1910-12-16,-73.75,4.75,76.200005
1911-01-16,-73.75,4.75,28.6
1911-02-15,-73.75,4.75,90.4
1911-03-16,-73.75,4.75,76.6
1911-04-16,-73.75,4.75,177.2
1911-05-16,-73.75,4.75,124.3
1911-06-16,-73.75,4.75,112.5
1911-07-16,-73.75,4.75,131.90001
1911-08-16,-73.75,4.75,44.600002
1911-09-16,-73.75,4.75,7.9
1911-10-16,-73.75,4.75,40.2
1911-11-16,-73.75,4.75,65.5
1911-12-16,-73.75,4.75,22.6
1912-01-16,-73.75,4.75,31.5
1912-02-15,-73.75,4.75,40.7
1912-03-16,-73.75,4.75,44.9
1912-04-16,-73.75,4.75,103.200005
1912-05-16,-73.75,4.75,61.9
1912-06-16,-73.75,4.75,59.4
1912-07-16,-73.75,4.75,173.2
1912-08-16,-73.75,4.75,273.9
1912-09-16,-73.75,4.75,76.3
1912-10-16,-73.75,4.75,86.6
1912-11-16,-73.75,4.75,143.3
1912-12-16,-73.75,4.75,55.3
1913-01-16,-73.75,4.75,12.0
1913-02-15,-73.75,4.75,23.6
1913-03-16,-73.75,4.75,66.200005
1913-04-16,-73.75,4.75,241.6
1913-05-16,-73.75,4.75,117.200005
1913-06-16,-73.75,4.75,104.3
1913-07-16,-73.75,4.75,64.700005
1913-08-16,-73.75,4.75,44.3
1913-09-16,-73.75,4.75,235.40001
1913-10-16,-73.75,4.75,110.3
1913-11-16,-73.75,4.75,102.4
1913-12-16,-73.75,4.75,52.100002
1914-01-16,-73.75,4.75,17.800001
1914-02-15,-73.75,4.75,21.1
1914-03-16,-73.75,4.75,19.6
1914-04-16,-73.75,4.75,170.0
1914-05-16,-73.75,4.75,25.5
1914-06-16,-73.75,4.75,49.2
1914-07-16,-73.75,4.75,48.9
1914-08-16,-73.75,4.75,96.3
1914-09-16,-73.75,4.75,18.2
1914-10-16,-73.75,4.75,118.200005
1914-11-16,-73.75,4.75,160.1
1914-12-16,-73.75,4.75,63.7
1915-01-16,-73.75,4.75,25.2
1915-02-15,-73.75,4.75,60.100002
1915-03-16,-73.75,4.75,24.300001
1915-04-16,-73.75,4.75,133.5
1915-05-16,-73.75,4.75,159.6
1915-06-16,-73.75,4.75,148.7
1915-07-16,-73.75,4.75,186.0
1915-08-16,-73.75,4.75,274.80002
1915-09-16,-73.75,4.75,61.3
1915-10-16,-73.75,4.75,128.8
1915-11-16,-73.75,4.75,78.4
1915-12-16,-73.75,4.75,37.5
1916-01-16,-73.75,4.75,27.300001
1916-02-15,-73.75,4.75,22.1
1916-03-16,-73.75,4.75,104.4
1916-04-16,-73.75,4.75,150.8
1916-05-16,-73.75,4.75,40.100002
1916-06-16,-73.75,4.75,246.90001
1916-07-16,-73.75,4.75,166.1
1916-08-16,-73.75,4.75,117.5
1916-09-16,-73.75,4.75,64.700005
1916-10-16,-73.75,4.75,121.5
1916-11-16,-73.75,4.75,59.7
1916-12-16,-73.75,4.75,42.3
1917-01-16,-73.75,4.75,61.4
1917-02-15,-73.75,4.75,42.3
1917-03-16,-73.75,4.75,100.6
1917-04-16,-73.75,4.75,196.5
1917-05-16,-73.75,4.75,225.40001
1917-06-16,-73.75,4.75,151.8
1917-07-16,-73.75,4.75,148.1
1917-08-16,-73.75,4.75,233.0
1917-09-16,-73.75,4.75,59.0
1917-10-16,-73.75,4.75,64.0
1917-11-16,-73.75,4.75,115.4
1917-12-16,-73.75,4.75,52.0
1918-01-16,-73.75,4.75,36.7
1918-02-15,-73.75,4.75,41.7
1918-03-16,-73.75,4.75,75.9
1918-04-16,-73.75,4.75,236.5
1918-05-16,-73.75,4.75,116.200005
1918-06-16,-73.75,4.75,52.5
1918-07-16,-73.75,4.75,79.700005
1918-08-16,-73.75,4.75,44.600002
1918-09-16,-73.75,4.75,45.0
1918-10-16,-73.75,4.75,145.2
1918-11-16,-73.75,4.75,137.3
1918-12-16,-73.75,4.75,10.900001
1919-01-16,-73.75,4.75,34.100002
1919-02-15,-73.75,4.75,21.0
1919-03-16,-73.75,4.75,37.2
1919-04-16,-73.75,4.75,118.700005
1919-05-16,-73.75,4.75,88.0
1919-06-16,-73.75,4.75,119.0
1919-07-16,-73.75,4.75,225.1
1919-08-16,-73.75,4.75,137.0
1919-09-16,-73.75,4.75,131.7
1919-10-16,-73.75,4.75,56.600002
1919-11-16,-73.75,4.75,89.9
1919-12-16,-73.75,4.75,69.4
1920-01-16,-73.75,4.75,17.2
1920-02-15,-73.75,4.75,47.100002
1920-03-16,-73.75,4.75,48.5
1920-04-16,-73.75,4.75,56.600002
1920-05-16,-73.75,4.75,234.40001
1920-06-16,-73.75,4.75,90.700005
1920-07-16,-73.75,4.75,335.5
1920-08-16,-73.75,4.75,102.1
1920-09-16,-73.75,4.75,93.8
1920-10-16,-73.75,4.75,200.8
1920-11-16,-73.75,4.75,28.7
1920-12-16,-73.75,4.75,51.0
1921-01-16,-73.75,4.75,55.100002
1921-02-15,-73.75,4.75,72.5
1921-03-16,-73.75,4.75,198.6
1921-04-16,-73.75,4.75,136.3
1921-05-16,-73.75,4.75,234.8
1921-06-16,-73.75,4.75,196.2
1921-07-16,-73.75,4.75,261.5
1921-08-16,-73.75,4.75,68.9
1921-09-16,-73.75,4.75,140.90001
1921-10-16,-73.75,4.75,164.7
1921-11-16,-73.75,4.75,44.7
1921-12-16,-73.75,4.75,78.1
1922-01-16,-73.75,4.75,1.3000001
1922-02-15,-73.75,4.75,71.5
1922-03-16,-73.75,4.75,139.1
1922-04-16,-73.75,4.75,84.200005
1922-05-16,-73.75,4.75,127.6
1922-06-16,-73.75,4.75,339.2
1922-07-16,-73.75,4.75,125.0
1922-08-16,-73.75,4.75,19.300001
1922-09-16,-73.75,4.75,43.600002
1922-10-16,-73.75,4.75,82.5
1922-11-16,-73.75,4.75,86.200005
1922-12-16,-73.75,4.75,57.0
1923-01-16,-73.75,4.75,4.2000003
1923-02-15,-73.75,4.75,7.7000003
1923-03-16,-73.75,4.75,42.100002
1923-04-16,-73.75,4.75,71.3
1923-05-16,-73.75,4.75,109.9
1923-06-16,-73.75,4.75,63.7
1923-07-16,-73.75,4.75,201.0
1923-08-16,-73.75,4.75,132.90001
1923-09-16,-73.75,4.75,23.9
1923-10-16,-73.75,4.75,75.5
1923-11-16,-73.75,4.75,43.600002
1923-12-16,-73.75,4.75,70.9
1924-01-16,-73.75,4.75,0.0
1924-02-15,-73.75,4.75,2.4
1924-03-16,-73.75,4.75,45.5
1924-04-16,-73.75,4.75,42.600002
1924-05-16,-73.75,4.75,94.8
1924-06-16,-73.75,4.75,161.6
1924-07-16,-73.75,4.75,179.6
1924-08-16,-73.75,4.75,50.8
1924-09-16,-73.75,4.75,80.0
1924-10-16,-73.75,4.75,129.7
1924-11-16,-73.75,4.75,183.5
1924-12-16,-73.75,4.75,69.5
1925-01-16,-73.75,4.75,31.9
1925-02-15,-73.75,4.75,57.100002
1925-03-16,-73.75,4.75,125.5
1925-04-16,-73.75,4.75,237.1
1925-05-16,-73.75,4.75,90.8
1925-06-16,-73.75,4.75,108.0
1925-07-16,-73.75,4.75,156.0
1925-08-16,-73.75,4.75,125.3
1925-09-16,-73.75,4.75,103.0
1925-10-16,-73.75,4.75,67.6
1925-11-16,-73.75,4.75,74.9
1925-12-16,-73.75,4.75,21.1
1926-01-16,-73.75,4.75,2.2
1926-02-15,-73.75,4.75,22.1
1926-03-16,-73.75,4.75,34.9
1926-04-16,-73.75,4.75,48.2
1926-05-16,-73.75,4.75,83.9
1926-06-16,-73.75,4.75,210.5
1926-07-16,-73.75,4.75,137.40001
1926-08-16,-73.75,4.75,126.6
1926-09-16,-73.75,4.75,62.8
1926-10-16,-73.75,4.75,164.6
1926-11-16,-73.75,4.75,93.8
1926-12-16,-73.75,4.75,83.8
1927-01-16,-73.75,4.75,34.2
1927-02-15,-73.75,4.75,42.9
1927-03-16,-73.75,4.75,78.5
1927-04-16,-73.75,4.75,112.0
1927-05-16,-73.75,4.75,156.40001
1927-06-16,-73.75,4.75,136.1
1927-07-16,-73.75,4.75,189.8
1927-08-16,-73.75,4.75,126.8
1927-09-16,-73.75,4.75,114.4
1927-10-16,-73.75,4.75,115.4
1927-11-16,-73.75,4.75,90.6
1927-12-16,-73.75,4.75,38.600002
1928-01-16,-73.75,4.75,19.300001
1928-02-15,-73.75,4.75,33.5
1928-03-16,-73.75,4.75,83.3
1928-04-16,-73.75,4.75,86.1
1928-05-16,-73.75,4.75,130.90001
1928-06-16,-73.75,4.75,141.90001
1928-07-16,-73.75,4.75,195.5
1928-08-16,-73.75,4.75,92.3
1928-09-16,-73.75,4.75,65.0
1928-10-16,-73.75,4.75,60.8
1928-11-16,-73.75,4.75,155.40001
1928-12-16,-73.75,4.75,76.4
1929-01-16,-73.75,4.75,1.9
1929-02-15,-73.75,4.75,1.7
1929-03-16,-73.75,4.75,79.0
1929-04-16,-73.75,4.75,144.90001
1929-05-16,-73.75,4.75,160.5
1929-06-16,-73.75,4.75,159.40001
1929-07-16,-73.75,4.75,146.7
1929-08-16,-73.75,4.75,57.600002
1929-09-16,-73.75,4.75,69.6
1929-10-16,-73.75,4.75,86.1
1929-11-16,-73.75,4.75,46.9
1929-12-16,-73.75,4.75,9.6
1930-01-16,-73.75,4.75,43.2
1930-02-15,-73.75,4.75,43.8
1930-03-16,-73.75,4.75,81.200005
1930-04-16,-73.75,4.75,113.9
1930-05-16,-73.75,4.75,78.5
1930-06-16,-73.75,4.75,187.0
1930-07-16,-73.75,4.75,214.6
1930-08-16,-73.75,4.75,99.200005
1930-09-16,-73.75,4.75,68.3
1930-10-16,-73.75,4.75,117.9
1930-11-16,-73.75,4.75,48.2
1930-12-16,-73.75,4.75,31.6
1931-01-16,-73.75,4.75,17.300001
1931-02-15,-73.75,4.75,49.5
1931-03-16,-73.75,4.75,50.4
1931-04-16,-73.75,4.75,93.6
1931-05-16,-73.75,4.75,128.0
1931-06-16,-73.75,4.75,174.8
1931-07-16,-73.75,4.75,257.80002
1931-08-16,-73.75,4.75,77.3
1931-09-16,-73.75,4.75,96.200005
1931-10-16,-73.75,4.75,112.4
1931-11-16,-73.75,4.75,132.5
1931-12-16,-73.75,4.75,65.1
1932-01-16,-73.75,4.75,57.8
1932-02-15,-73.75,4.75,34.3
1932-03-16,-73.75,4.75,28.5
1932-04-16,-73.75,4.75,64.3
1932-05-16,-73.75,4.75,125.1
1932-06-16,-73.75,4.75,111.4
1932-07-16,-73.75,4.75,160.8
1932-08-16,-73.75,4.75,67.6
1932-09-16,-73.75,4.75,103.3
1932-10-16,-73.75,4.75,147.3
1932-11-16,-73.75,4.75,132.90001
1932-12-16,-73.75,4.75,55.600002
1933-01-16,-73.75,4.75,25.800001
1933-02-15,-73.75,4.75,8.7
1933-03-16,-73.75,4.75,80.5
1933-04-16,-73.75,4.75,180.90001
1933-05-16,-73.75,4.75,137.90001
1933-06-16,-73.75,4.75,165.8
1933-07-16,-73.75,4.75,108.3
1933-08-16,-73.75,4.75,102.9
1933-09-16,-73.75,4.75,70.1
1933-10-16,-73.75,4.75,118.4
1933-11-16,-73.75,4.75,162.6
1933-12-16,-73.75,4.75,65.4
1934-01-16,-73.75,4.75,29.9
1934-02-15,-73.75,4.75,58.2
1934-03-16,-73.75,4.75,78.200005
1934-04-16,-73.75,4.75,38.9
1934-05-16,-73.75,4.75,155.7
1934-06-16,-73.75,4.75,126.5
1934-07-16,-73.75,4.75,186.90001
1934-08-16,-73.75,4.75,66.6
1934-09-16,-73.75,4.75,57.600002
1934-10-16,-73.75,4.75,134.90001
1934-11-16,-73.75,4.75,120.3
1934-12-16,-73.75,4.75,36.4
1935-01-16,-73.75,4.75,52.7
1935-02-15,-73.75,4.75,72.3
1935-03-16,-73.75,4.75,108.6
1935-04-16,-73.75,4.75,122.700005
1935-05-16,-73.75,4.75,102.9
1935-06-16,-73.75,4.75,168.40001
1935-07-16,-73.75,4.75,224.1
1935-08-16,-73.75,4.75,166.1
1935-09-16,-73.75,4.75,78.3
1935-10-16,-73.75,4.75,101.5
1935-11-16,-73.75,4.75,215.1
1935-12-16,-73.75,4.75,12.5
1936-01-16,-73.75,4.75,26.6
1936-02-15,-73.75,4.75,23.7
1936-03-16,-73.75,4.75,71.9
1936-04-16,-73.75,4.75,55.9
1936-05-16,-73.75,4.75,140.5
1936-06-16,-73.75,4.75,163.8
1936-07-16,-73.75,4.75,157.2
1936-08-16,-73.75,4.75,124.5
1936-09-16,-73.75,4.75,50.4
1936-10-16,-73.75,4.75,124.8
1936-11-16,-73.75,4.75,56.8
1936-12-16,-73.75,4.75,82.6
1937-01-16,-73.75,4.75,57.600002
1937-02-15,-73.75,4.75,46.100002
1937-03-16,-73.75,4.75,90.200005
1937-04-16,-73.75,4.75,48.0
1937-05-16,-73.75,4.75,116.6
1937-06-16,-73.75,4.75,87.1
1937-07-16,-73.75,4.75,183.7
1937-08-16,-73.75,4.75,74.1
1937-09-16,-73.75,4.75,120.3
1937-10-16,-73.75,4.75,104.0
1937-11-16,-73.75,4.75,107.4
1937-12-16,-73.75,4.75,59.4
1938-01-16,-73.75,4.75,58.3
1938-02-15,-73.75,4.75,28.800001
1938-03-16,-73.75,4.75,125.8
1938-04-16,-73.75,4.75,218.40001
1938-05-16,-73.75,4.75,174.2
1938-06-16,-73.75,4.75,88.0
1938-07-16,-73.75,4.75,210.6
1938-08-16,-73.75,4.75,131.2
1938-09-16,-73.75,4.75,37.100002
1938-10-16,-73.75,4.75,178.1
1938-11-16,-73.75,4.75,127.5
1938-12-16,-73.75,4.75,74.3
1939-01-16,-73.75,4.75,13.400001
1939-02-15,-73.75,4.75,7.6
1939-03-16,-73.75,4.75,68.6
1939-04-16,-73.75,4.75,54.8
1939-05-16,-73.75,4.75,90.5
1939-06-16,-73.75,4.75,128.90001
1939-07-16,-73.75,4.75,160.7
1939-08-16,-73.75,4.75,81.0
1939-09-16,-73.75,4.75,41.9
1939-10-16,-73.75,4.75,137.6
1939-11-16,-73.75,4.75,64.200005
1939-12-16,-73.75,4.75,45.0
1940-01-16,-73.75,4.75,32.600002
1940-02-15,-73.75,4.75,32.0
1940-03-16,-73.75,4.75,21.4
